resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,status
23782,1010,1,131,44,1,2,2,2,18,1
23783,1010,822,131,77,2,1,1,1,26,1
23784,1010,20,6,5,3,4,4,4,12,1
23785,1010,830,9,33,4,3,3,3,15,1
23786,1010,844,6,16,5,5,5,5,10,1
23787,1010,154,210,8,6,,R,18,0,27
23788,1010,825,210,20,7,6,6,6,8,1
23789,1010,845,1,4,8,12,12,12,0,1
23790,1010,8,51,7,9,8,8,8,4,1
23791,1010,815,211,11,10,13,13,13,0,1
