resultId,raceId,driverId,constructorId,number_x,grid,position_x,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3
1,18,1,1,22.0,1,1.0,1,1,10.0,58,34:50.6,5690616.0,39.0,2.0,01:27.5,218.3,1,1,22,1,1:26.572,1:25.187,1:26.714
2,18,2,2,3.0,5,2.0,2,2,8.0,58,5.478,5696094.0,41.0,3.0,01:27.7,217.586,1,5,3,5,1:25.960,1:25.518,1:27.236
3,18,3,3,7.0,7,3.0,3,3,6.0,58,8.163,5698779.0,41.0,5.0,01:28.1,216.719,1,7,7,7,1:26.295,1:26.059,1:28.687
4,18,4,4,5.0,11,4.0,4,4,5.0,58,17.181,5707797.0,58.0,7.0,01:28.6,215.464,1,12,5,12,1:26.907,1:26.188,
5,18,5,1,23.0,3,5.0,5,5,4.0,58,18.014,5708630.0,43.0,1.0,01:27.4,218.385,1,3,23,3,1:25.664,1:25.452,1:27.079
6,18,6,3,8.0,13,6.0,6,6,3.0,57,,,50.0,14.0,01:29.6,212.974,11,14,8,14,1:26.891,1:26.413,
7,18,7,5,14.0,17,7.0,7,7,2.0,55,,,22.0,12.0,01:29.5,213.224,5,18,14,18,1:27.446,,
8,18,8,6,1.0,15,8.0,8,8,1.0,53,,,20.0,4.0,01:27.9,217.18,5,16,1,16,1:26.140,,
9,18,9,2,4.0,2,,R,9,0.0,47,,,15.0,9.0,01:28.8,215.1,4,2,4,2,1:26.103,1:25.315,1:26.869
10,18,10,7,12.0,18,,R,10,0.0,43,,,23.0,13.0,01:29.6,213.166,3,9,12,9,1:26.919,1:26.164,1:29.593
11,18,11,8,18.0,19,,R,11,0.0,32,,,24.0,15.0,01:30.9,210.038,7,20,18,20,1:28.208,,
12,18,12,4,6.0,20,,R,12,0.0,30,,,20.0,16.0,01:31.4,208.907,8,21,6,21,1:28.330,,
13,18,13,6,2.0,4,,R,13,0.0,29,,,23.0,6.0,01:28.2,216.51,5,4,2,4,1:25.994,1:25.691,1:27.178
14,18,14,9,9.0,8,,R,14,0.0,25,,,21.0,11.0,01:29.5,213.3,4,8,9,8,1:26.381,1:26.063,1:29.041
15,18,15,7,11.0,6,,R,15,0.0,19,,,18.0,10.0,01:29.3,213.758,10,6,11,6,1:26.427,1:26.101,1:28.527
16,18,16,10,20.0,22,,R,16,0.0,8,,,8.0,17.0,01:32.0,207.461,9,19,20,19,1:27.859,,
17,18,17,9,10.0,14,,R,17,0.0,0,,,,,,,4,15,10,15,1:26.914,,
18,18,18,11,16.0,12,,R,18,0.0,0,,,,,,,4,13,16,13,1:26.712,1:26.259,
19,18,19,8,19.0,21,,R,19,0.0,0,,,,,,,4,22,19,22,1:29.059,,
20,18,20,5,15.0,9,,R,20,0.0,0,,,,,,,4,10,15,10,1:26.702,1:25.842,
21,18,21,10,21.0,16,,R,21,0.0,0,,,,,,,4,17,21,17,1:27.207,,
22,18,22,11,17.0,10,,D,22,0.0,58,,,44.0,8.0,01:28.7,215.141,2,11,17,11,1:26.369,1:26.173,
23,19,8,6,1.0,2,1.0,1,1,10.0,56,31:18.6,5478555.0,37.0,2.0,01:35.4,209.158,1,24,1,2,1:35.645,1:34.188,1:36.230
24,19,9,2,4.0,4,2.0,2,2,8.0,56,19.57,5498125.0,39.0,6.0,01:35.9,208.033,1,28,4,6,1:35.794,1:34.811,1:36.727
25,19,5,1,23.0,8,3.0,3,3,6.0,56,38.45,5517005.0,19.0,7.0,01:35.9,208.031,1,25,23,3,1:35.227,1:34.759,1:36.613
26,19,15,7,11.0,3,4.0,4,4,5.0,56,45.832,5524387.0,53.0,8.0,01:36.1,207.715,1,27,11,5,1:35.205,1:34.960,1:36.711
27,19,1,1,22.0,9,5.0,5,5,4.0,56,46.548,5525103.0,53.0,3.0,01:35.5,209.033,1,26,22,4,1:35.392,1:34.627,1:36.709
28,19,2,2,3.0,5,6.0,6,6,3.0,56,49.833,5528388.0,55.0,1.0,01:35.4,209.244,1,29,3,7,1:35.729,1:34.648,1:36.753
29,19,17,9,10.0,6,7.0,7,7,2.0,56,+1:08.130,5546685.0,53.0,12.0,01:36.7,206.366,1,30,10,8,1:35.440,1:34.967,1:37.009
30,19,4,4,5.0,7,8.0,8,8,1.0,56,+1:10.041,5548596.0,40.0,10.0,01:36.3,207.24,1,31,5,9,1:35.983,1:35.140,1:38.450
31,19,14,9,9.0,12,9.0,9,9,0.0,56,+1:16.220,5554775.0,55.0,9.0,01:36.2,207.417,1,34,9,12,1:36.058,1:35.408,
32,19,18,11,16.0,11,10.0,10,10,0.0,56,+1:26.214,5564769.0,56.0,4.0,01:35.7,208.481,1,33,16,11,1:35.847,1:35.208,
33,19,12,4,6.0,13,11.0,11,11,0.0,56,+1:32.202,5570757.0,52.0,15.0,01:37.0,205.812,1,35,6,13,1:36.074,1:35.562,
34,19,21,10,21.0,17,12.0,12,12,0.0,55,,,52.0,16.0,01:37.0,205.8,11,39,21,17,1:36.240,,
35,19,22,11,17.0,14,13.0,13,13,0.0,55,,,55.0,11.0,01:36.7,206.372,11,36,17,14,1:36.198,1:35.622,
36,19,3,3,7.0,16,14.0,14,14,0.0,55,,,55.0,13.0,01:36.8,206.182,11,38,7,16,1:35.843,1:35.670,
37,19,19,8,19.0,21,15.0,15,15,0.0,55,,,55.0,18.0,01:38.2,203.265,11,44,19,22,1:37.481,,
38,19,11,8,18.0,19,16.0,16,16,0.0,54,,,53.0,19.0,01:38.5,202.578,12,42,18,20,1:37.087,,
39,19,6,3,8.0,22,17.0,17,17,0.0,54,,,19.0,17.0,01:37.7,204.222,12,40,8,18,1:36.388,,
40,19,20,5,15.0,15,,R,18,0.0,39,,,37.0,14.0,01:36.9,205.995,5,37,15,15,1:36.111,1:35.648,
41,19,13,6,2.0,1,,R,19,0.0,30,,,15.0,5.0,01:35.9,208.048,20,23,2,1,1:35.347,1:34.412,1:35.748
42,19,16,10,20.0,20,,R,20,0.0,5,,,3.0,20.0,01:40.3,198.891,9,43,20,21,1:37.101,,
43,19,10,7,12.0,10,,R,21,0.0,1,,,,,,,4,32,12,10,1:35.891,1:35.000,1:39.656
44,19,7,5,14.0,18,,R,22,0.0,0,,,,,,,20,41,14,19,1:36.677,,
45,20,13,6,2.0,2,1.0,1,1,10.0,57,31:07.0,5466970.0,38.0,3.0,01:33.6,208.153,1,46,2,2,1:31.937,1:31.188,1:33.123
46,20,8,6,1.0,4,2.0,2,2,8.0,57,3.339,5470309.0,35.0,4.0,01:33.7,207.911,1,48,1,4,1:32.652,1:31.933,1:33.418
47,20,9,2,4.0,1,3.0,3,3,6.0,57,4.998,5471968.0,55.0,5.0,01:33.8,207.765,1,45,4,1,1:32.893,1:31.745,1:33.096
48,20,2,2,3.0,6,4.0,4,4,5.0,57,8.409,5475379.0,48.0,2.0,01:33.6,208.231,1,50,3,6,1:33.137,1:31.909,1:33.737
49,20,5,1,23.0,5,5.0,5,5,4.0,57,26.789,5493759.0,49.0,1.0,01:33.2,209.062,1,49,23,5,1:33.057,1:31.718,1:33.488
50,20,15,7,11.0,7,6.0,6,6,3.0,57,41.314,5508284.0,45.0,7.0,01:34.2,206.819,1,51,11,7,1:32.493,1:32.159,1:33.994
51,20,17,9,10.0,11,7.0,7,7,2.0,57,45.473,5512443.0,51.0,8.0,01:34.3,206.597,1,55,10,11,1:33.194,1:32.371,
52,20,3,3,7.0,8,8.0,8,8,1.0,57,55.889,5522859.0,57.0,6.0,01:34.1,207.109,1,52,7,8,1:32.903,1:32.185,1:34.015
53,20,10,7,12.0,13,9.0,9,9,0.0,57,+1:09.500,5536470.0,56.0,9.0,01:34.8,205.503,1,57,12,13,1:32.800,1:32.528,
54,20,4,4,5.0,10,10.0,10,10,0.0,57,+1:17.181,5544151.0,35.0,13.0,01:35.2,204.668,1,54,5,10,1:32.947,1:32.345,1:35.115
55,20,22,11,17.0,12,11.0,11,11,0.0,57,+1:17.862,5544832.0,40.0,10.0,01:34.9,205.399,1,56,17,12,1:32.944,1:32.508,
56,20,21,10,21.0,18,12.0,12,12,0.0,56,,,56.0,11.0,01:35.1,204.963,11,62,21,18,1:33.501,,
57,20,1,1,22.0,3,13.0,13,13,0.0,56,,,25.0,19.0,01:35.5,203.969,11,47,22,3,1:32.750,1:31.922,1:33.292
58,20,6,3,8.0,16,14.0,14,14,0.0,56,,,30.0,17.0,01:35.4,204.155,11,60,8,16,1:33.386,1:32.943,
59,20,7,5,14.0,15,15.0,15,15,0.0,56,,,33.0,15.0,01:35.3,204.369,11,59,14,15,1:33.415,1:32.915,
60,20,19,8,19.0,21,16.0,16,16,0.0,56,,,45.0,14.0,01:35.3,204.389,11,65,19,21,1:34.140,,
61,20,11,8,18.0,22,17.0,17,17,0.0,56,,,56.0,20.0,01:35.9,203.18,11,66,18,22,1:35.725,,
62,20,14,9,9.0,17,18.0,18,18,0.0,56,,,43.0,16.0,01:35.4,204.331,11,61,9,17,1:33.433,,
63,20,16,10,20.0,20,19.0,19,19,0.0,56,,,55.0,18.0,01:35.4,204.136,12,64,20,20,1:33.562,,
64,20,12,4,6.0,14,,R,20,0.0,40,,,31.0,12.0,01:35.1,204.808,6,58,6,14,1:32.975,1:32.790,
65,20,18,11,16.0,9,,R,21,0.0,19,,,11.0,21.0,01:36.1,202.686,4,53,16,9,1:32.793,1:32.362,1:35.057
66,20,20,5,15.0,19,,R,22,0.0,0,,,,,,,5,63,15,19,1:34.127,,
67,21,8,6,1.0,1,1.0,1,1,10.0,66,38:19.1,5899051.0,46.0,1.0,01:21.7,205.191,1,67,1,1,1:20.701,1:20.784,1:21.813
68,21,13,6,2.0,3,2.0,2,2,8.0,66,3.228,5902279.0,45.0,2.0,01:21.8,204.863,1,69,2,3,1:21.528,1:20.584,1:22.058
69,21,1,1,22.0,5,3.0,3,3,6.0,66,4.187,5903238.0,20.0,3.0,01:22.0,204.323,1,71,22,5,1:21.366,1:20.825,1:22.096
70,21,9,2,4.0,4,4.0,4,4,5.0,66,5.694,5904745.0,20.0,4.0,01:22.1,204.102,1,70,4,4,1:21.423,1:20.597,1:22.065
71,21,17,9,10.0,7,5.0,5,5,4.0,66,35.938,5934989.0,19.0,8.0,01:22.6,202.969,1,73,10,7,1:21.494,1:20.984,1:22.429
72,21,18,11,16.0,13,6.0,6,6,3.0,66,53.01,5952061.0,66.0,5.0,01:22.4,203.489,1,79,16,13,1:21.757,1:21.211,
73,21,6,3,8.0,12,7.0,7,7,2.0,66,58.244,5957295.0,48.0,15.0,01:23.5,200.576,1,78,8,12,1:21.690,1:21.117,
74,21,15,7,11.0,8,8.0,8,8,1.0,66,59.435,5958486.0,45.0,10.0,01:22.8,202.494,1,74,11,8,1:21.158,1:20.907,1:22.529
75,21,2,2,3.0,9,9.0,9,9,0.0,66,+1:03.073,5962124.0,21.0,7.0,01:22.5,203.08,1,75,3,9,1:21.466,1:20.815,1:22.542
76,21,21,10,21.0,19,10.0,10,10,0.0,65,,,40.0,14.0,01:23.4,200.841,11,85,21,19,1:22.516,,
77,21,10,7,12.0,14,11.0,11,11,0.0,65,,,57.0,12.0,01:23.0,201.886,11,80,12,14,1:21.427,1:21.230,
78,21,14,9,9.0,17,12.0,12,12,0.0,65,,,57.0,11.0,01:22.8,202.288,11,83,9,17,1:21.810,,
79,21,11,8,18.0,22,13.0,13,13,0.0,65,,,34.0,17.0,01:24.6,198.045,11,88,18,22,1:23.496,,
80,21,3,3,7.0,15,,R,14,0.0,41,,,20.0,13.0,01:23.3,201.13,5,81,7,15,1:21.472,1:21.349,
81,21,4,4,5.0,2,,R,15,0.0,34,,,15.0,9.0,01:22.7,202.677,5,68,5,2,1:21.347,1:20.804,1:21.904
82,21,22,11,17.0,11,,R,16,0.0,34,,,21.0,16.0,01:23.9,199.837,4,77,17,11,1:21.548,1:21.049,
83,21,5,1,23.0,6,,R,17,0.0,21,,,19.0,6.0,01:22.5,203.243,3,72,23,6,1:21.430,1:20.817,1:22.231
84,21,19,8,19.0,21,,R,18,0.0,8,,,6.0,20.0,01:26.9,192.922,21,87,19,21,1:23.318,,
85,21,7,5,14.0,16,,R,19,0.0,7,,,6.0,19.0,01:26.0,194.862,4,82,14,16,1:21.540,1:21.724,
86,21,12,4,6.0,10,,R,20,0.0,6,,,6.0,18.0,01:25.4,196.128,4,76,6,10,1:21.409,1:20.894,1:22.699
87,21,16,10,20.0,20,,R,21,0.0,0,,,,,,,4,86,20,20,1:23.224,,
88,21,20,5,15.0,18,,R,22,0.0,0,,,,,,,4,84,15,18,1:22.108,,
89,22,13,6,2.0,1,1.0,1,1,10.0,58,26:49.5,5209451.0,16.0,3.0,01:26.7,221.734,1,89,2,1,1:25.994,1:26.192,1:27.617
90,22,1,1,22.0,3,2.0,2,2,8.0,58,3.779,5213230.0,31.0,2.0,01:26.5,222.085,1,91,22,3,1:26.192,1:26.477,1:27.923
91,22,8,6,1.0,4,3.0,3,3,6.0,58,4.271,5213722.0,20.0,1.0,01:26.5,222.144,1,92,1,4,1:26.457,1:26.050,1:27.936
92,22,9,2,4.0,5,4.0,4,4,5.0,58,21.945,5231396.0,17.0,4.0,01:26.8,221.442,1,93,4,5,1:26.761,1:26.129,1:28.390
93,22,2,2,3.0,9,5.0,5,5,4.0,58,38.741,5248192.0,20.0,5.0,01:27.2,220.328,1,97,3,9,1:27.107,1:27.607,1:28.882
94,22,4,4,5.0,7,6.0,6,6,3.0,58,53.724,5263175.0,57.0,6.0,01:27.3,220.174,1,95,5,7,1:26.836,1:26.522,1:28.422
95,22,17,9,10.0,6,7.0,7,7,2.0,58,+1:04.229,5273680.0,14.0,7.0,01:27.6,219.294,1,94,10,6,1:26.773,1:26.466,1:28.417
96,22,3,3,7.0,11,8.0,8,8,1.0,58,+1:11.406,5280857.0,55.0,9.0,01:27.8,218.882,1,99,7,11,1:27.367,1:27.012,
97,22,14,9,9.0,10,9.0,9,9,0.0,58,+1:15.270,5284721.0,41.0,12.0,01:28.0,218.457,1,98,9,10,1:26.939,1:26.520,1:29.959
98,22,15,7,11.0,8,10.0,10,10,0.0,58,+1:16.344,5285795.0,52.0,11.0,01:27.9,218.556,1,96,11,8,1:26.695,1:26.822,1:28.836
99,22,18,11,16.0,13,11.0,11,11,0.0,57,,,57.0,13.0,01:28.0,218.377,11,101,16,13,1:27.428,1:27.298,
100,22,5,1,23.0,2,12.0,12,12,0.0,57,,,55.0,8.0,01:27.6,219.269,11,90,23,2,1:26.736,1:26.290,1:27.808
101,22,10,7,12.0,15,13.0,13,13,0.0,57,,,28.0,16.0,01:28.3,217.623,11,103,12,15,1:26.614,1:27.806,
102,22,22,11,17.0,12,14.0,14,14,0.0,57,,,56.0,14.0,01:28.0,218.33,11,100,17,12,1:27.355,1:27.219,
103,22,12,4,6.0,17,15.0,15,15,0.0,57,,,40.0,10.0,01:27.9,218.703,11,105,6,17,1:27.568,,
104,22,16,10,20.0,19,16.0,16,16,0.0,57,,,35.0,18.0,01:28.8,216.454,11,108,20,20,1:28.325,,
105,22,20,5,15.0,14,17.0,17,17,0.0,57,,,38.0,15.0,01:28.2,217.926,11,102,15,14,1:27.442,1:27.412,
106,22,7,5,14.0,18,,R,18,0.0,24,,,19.0,17.0,01:28.7,216.539,22,106,14,18,1:27.621,,
107,22,6,3,8.0,16,,R,19,0.0,1,,,,,,,4,104,8,16,1:27.547,,
108,22,21,10,21.0,20,,R,20,0.0,0,,,,,,,4,107,21,19,1:27.807,,
109,23,1,1,22.0,3,1.0,1,1,10.0,76,00:42.7,7242742.0,71.0,6.0,01:18.5,153.152,1,111,22,3,1:15.582,1:15.322,1:15.839
110,23,9,2,4.0,5,2.0,2,2,8.0,76,3.064,7245806.0,75.0,5.0,01:17.9,154.286,1,113,4,5,1:15.977,1:15.483,1:16.171
111,23,13,6,2.0,1,3.0,3,3,6.0,76,4.811,7247553.0,76.0,4.0,01:17.9,154.379,1,109,2,1,1:15.190,1:15.110,1:15.787
112,23,17,9,10.0,9,4.0,4,4,5.0,76,19.295,7262037.0,74.0,8.0,01:19.0,152.133,1,117,10,9,1:16.074,1:15.745,1:17.343
113,23,20,5,15.0,19,5.0,5,5,4.0,76,24.657,7267399.0,74.0,7.0,01:18.8,152.614,1,126,15,18,1:16.955,,
114,23,22,11,17.0,14,6.0,6,6,3.0,76,28.408,7271150.0,75.0,9.0,01:19.6,151.104,1,123,17,15,1:16.208,1:16.537,
115,23,6,3,8.0,13,7.0,7,7,2.0,76,30.18,7272922.0,75.0,13.0,01:19.9,150.469,1,122,8,14,1:16.756,1:16.479,
116,23,5,1,23.0,4,8.0,8,8,1.0,76,33.191,7275933.0,74.0,2.0,01:17.3,155.586,1,112,23,4,1:15.295,1:15.389,1:16.165
117,23,8,6,1.0,2,9.0,9,9,0.0,76,33.792,7276534.0,74.0,1.0,01:16.7,156.789,1,110,1,2,1:15.717,1:15.404,1:15.815
118,23,4,4,5.0,7,10.0,10,10,0.0,75,,,73.0,3.0,01:17.9,154.413,11,115,5,7,1:16.646,1:15.827,1:16.852
119,23,18,11,16.0,11,11.0,11,11,0.0,75,,,74.0,10.0,01:19.6,151.089,11,120,16,12,1:16.259,1:16.101,
120,23,10,7,12.0,10,12.0,12,12,0.0,75,,,75.0,11.0,01:19.6,151.021,11,119,12,11,1:16.285,1:15.907,
121,23,15,7,11.0,8,13.0,13,13,0.0,75,,,75.0,12.0,01:19.8,150.62,11,116,11,8,1:16.306,1:15.598,1:17.203
122,23,2,2,3.0,12,14.0,14,14,0.0,72,,,72.0,14.0,01:20.3,149.829,14,121,3,13,1:16.650,1:16.455,
123,23,16,10,20.0,18,,R,15,0.0,67,,,60.0,16.0,01:22.0,146.564,4,127,20,19,1:17.225,,
124,23,3,3,7.0,6,,R,16,0.0,59,,,58.0,15.0,01:21.3,147.951,3,114,7,6,1:15.935,1:15.287,1:16.548
125,23,12,4,6.0,17,,R,17,0.0,47,,,40.0,17.0,01:31.2,131.86,3,125,6,17,1:16.933,,
126,23,21,10,21.0,20,,R,18,0.0,36,,,33.0,18.0,01:32.8,129.5,6,128,21,20,1:17.823,,
127,23,14,9,9.0,15,,R,19,0.0,7,,,7.0,20.0,01:42.1,117.753,3,118,9,10,1:16.086,1:15.839,
128,23,7,5,14.0,16,,R,20,0.0,7,,,7.0,19.0,01:41.2,118.872,4,124,14,16,1:16.806,,
129,24,9,2,4.0,2,1.0,1,1,10.0,70,36:24.2,5784227.0,47.0,4.0,01:17.5,202.473,1,130,4,2,1:17.471,1:17.679,1:18.498
130,24,2,2,3.0,8,2.0,2,2,8.0,70,16.495,5800722.0,25.0,2.0,01:17.4,202.758,1,136,3,8,1:18.082,1:17.781,1:19.633
131,24,14,9,9.0,13,3.0,3,3,6.0,70,23.352,5807579.0,36.0,7.0,01:18.1,201.057,1,141,9,13,1:18.168,1:18.238,
132,24,10,7,12.0,11,4.0,4,4,5.0,70,42.627,5826854.0,31.0,17.0,01:19.1,198.51,1,139,12,11,1:18.321,1:18.031,
133,24,13,6,2.0,6,5.0,5,5,4.0,70,43.934,5828161.0,11.0,6.0,01:18.0,201.261,1,134,2,6,1:17.231,1:17.353,1:19.048
134,24,15,7,11.0,14,6.0,6,6,3.0,70,47.775,5832002.0,38.0,15.0,01:18.9,199.056,1,142,11,14,1:18.039,1:18.327,
135,24,22,11,17.0,9,7.0,7,7,2.0,70,53.597,5837824.0,35.0,10.0,01:18.3,200.503,1,137,17,9,1:18.256,1:18.020,1:20.848
136,24,20,5,15.0,19,8.0,8,8,1.0,70,54.12,5838347.0,33.0,12.0,01:18.5,199.913,1,148,15,20,,,
137,24,5,1,23.0,7,9.0,9,9,0.0,70,54.433,5838660.0,62.0,11.0,01:18.5,200.091,1,135,23,7,1:17.287,1:17.684,1:19.089
138,24,3,3,7.0,5,10.0,10,10,0.0,70,54.749,5838976.0,14.0,5.0,01:18.0,201.336,1,133,7,5,1:17.991,1:17.891,1:18.844
139,24,18,11,16.0,20,11.0,11,11,0.0,70,+1:07.540,5851767.0,58.0,19.0,01:19.4,197.847,1,147,16,19,1:23.565,,
140,24,17,9,10.0,10,12.0,12,12,0.0,70,+1:11.299,5855526.0,51.0,8.0,01:18.2,200.759,1,138,10,10,1:17.582,1:17.523,
141,24,7,5,14.0,18,13.0,13,13,0.0,69,,,34.0,13.0,01:18.6,199.689,11,144,14,16,1:18.916,,
142,24,21,10,21.0,17,,R,14,0.0,51,,,41.0,16.0,01:19.1,198.563,20,146,21,18,1:19.165,,
143,24,6,3,8.0,12,,R,15,0.0,46,,,30.0,14.0,01:18.8,199.273,3,140,8,12,1:17.638,1:18.062,
144,24,4,4,5.0,4,,R,16,0.0,44,,,16.0,9.0,01:18.2,200.697,20,132,5,4,1:17.415,1:17.488,1:18.746
145,24,12,4,6.0,15,,R,17,0.0,43,,,16.0,18.0,01:19.2,198.129,23,143,6,15,1:18.505,1:18.393,
146,24,8,6,1.0,3,,R,18,0.0,19,,,14.0,1.0,01:17.4,202.871,4,131,1,3,1:17.301,1:17.364,1:18.735
147,24,1,1,22.0,1,,R,19,0.0,19,,,4.0,3.0,01:17.5,202.559,4,129,22,1,1:16.909,1:17.034,1:17.886
148,24,16,10,20.0,16,,R,20,0.0,13,,,7.0,20.0,01:20.7,194.624,6,145,20,17,1:19.108,,
149,25,13,6,2.0,2,1.0,1,1,10.0,70,31:50.2,5510245.0,20.0,2.0,01:16.7,206.956,1,150,2,2,1:15.024,1:15.041,1:16.490
150,25,8,6,1.0,1,2.0,2,2,8.0,70,17.984,5528229.0,16.0,1.0,01:16.6,207.224,1,149,1,1,1:15.133,1:15.161,1:16.449
151,25,15,7,11.0,4,3.0,3,3,6.0,70,28.25,5538495.0,12.0,7.0,01:17.6,204.721,1,153,11,5,1:15.521,1:15.362,1:16.920
152,25,5,1,23.0,10,4.0,4,4,5.0,70,28.929,5539174.0,46.0,3.0,01:17.1,205.87,1,154,23,6,1:15.965,1:15.639,1:16.944
153,25,9,2,4.0,5,5.0,5,5,4.0,70,30.512,5540757.0,16.0,4.0,01:17.2,205.768,1,155,4,7,1:15.687,1:15.723,1:17.037
154,25,17,9,10.0,6,6.0,6,6,3.0,70,40.304,5550549.0,22.0,6.0,01:17.5,204.879,1,156,10,8,1:16.020,1:15.488,1:17.233
155,25,12,4,6.0,9,7.0,7,7,2.0,70,41.033,5551278.0,24.0,10.0,01:17.8,204.218,1,159,6,11,1:15.848,1:15.770,
156,25,4,4,5.0,3,8.0,8,8,1.0,70,43.372,5553617.0,39.0,8.0,01:17.6,204.525,1,152,5,4,1:15.754,1:15.483,1:16.840
157,25,14,9,9.0,7,9.0,9,9,0.0,70,51.021,5561266.0,23.0,12.0,01:17.8,204.06,1,157,9,9,1:15.802,1:15.654,1:17.426
158,25,1,1,22.0,13,10.0,10,10,0.0,70,54.538,5564783.0,40.0,5.0,01:17.5,205.022,1,151,22,3,1:15.634,1:15.293,1:16.693
159,25,10,7,12.0,8,11.0,11,11,0.0,70,57.7,5567945.0,45.0,13.0,01:17.8,204.013,1,158,12,10,1:15.727,1:15.558,1:17.596
160,25,20,5,15.0,12,12.0,12,12,0.0,70,58.065,5568310.0,36.0,11.0,01:17.8,204.212,1,161,15,13,1:15.918,1:15.816,
161,25,2,2,3.0,11,13.0,13,13,0.0,70,+1:02.079,5572324.0,46.0,9.0,01:17.7,204.328,1,160,3,12,1:16.006,1:15.786,
162,25,22,11,17.0,20,14.0,14,14,0.0,69,,,54.0,14.0,01:18.0,203.665,11,166,17,18,1:16.330,,
163,25,6,3,8.0,15,15.0,15,15,0.0,69,,,60.0,15.0,01:18.1,203.443,11,164,8,16,1:16.243,,
164,25,3,3,7.0,19,16.0,16,16,0.0,69,,,38.0,17.0,01:18.3,202.776,11,163,7,15,1:16.085,1:16.235,
165,25,7,5,14.0,14,17.0,17,17,0.0,69,,,28.0,16.0,01:18.2,203.022,11,162,14,14,1:16.072,1:16.045,
166,25,21,10,21.0,17,18.0,18,18,0.0,69,,,53.0,19.0,01:18.6,202.141,11,167,21,19,1:16.971,,
167,25,16,10,20.0,18,19.0,19,19,0.0,69,,,41.0,18.0,01:18.5,202.385,11,168,20,20,1:17.053,,
168,25,18,11,16.0,16,,R,20,0.0,16,,,15.0,20.0,01:20.9,196.345,4,165,16,17,1:16.306,,
169,26,1,1,22.0,4,1.0,1,1,10.0,60,39:09.4,5949440.0,16.0,3.0,01:32.8,199.398,1,172,22,4,1:20.288,1:19.537,1:21.835
170,26,2,2,3.0,5,2.0,2,2,8.0,60,+1:08.577,6018017.0,21.0,2.0,01:32.7,199.609,1,173,3,5,1:21.022,1:19.802,1:21.873
171,26,22,11,17.0,16,3.0,3,3,6.0,60,+1:22.273,6031713.0,21.0,11.0,01:33.4,198.183,1,184,17,16,1:21.512,,
172,26,8,6,1.0,3,4.0,4,4,5.0,59,,,18.0,1.0,01:32.1,200.842,11,171,1,3,1:20.370,1:19.971,1:21.706
173,26,5,1,23.0,1,5.0,5,5,4.0,59,,,17.0,5.0,01:33.1,198.728,11,169,23,1,1:19.957,1:19.597,1:21.049
174,26,4,4,5.0,6,6.0,6,6,3.0,59,,,17.0,6.0,01:33.1,198.722,11,174,5,6,1:20.998,1:19.992,1:22.029
175,26,15,7,11.0,14,7.0,7,7,2.0,59,,,22.0,13.0,01:33.8,197.292,11,182,11,14,1:21.145,1:20.601,
176,26,6,3,8.0,15,8.0,8,8,1.0,59,,,21.0,14.0,01:34.3,196.31,11,183,8,15,1:21.407,1:21.112,
177,26,3,3,7.0,20,9.0,9,9,0.0,59,,,21.0,16.0,01:34.8,195.234,11,186,7,18,1:21.668,,
178,26,17,9,10.0,2,10.0,10,10,0.0,59,,,17.0,4.0,01:33.0,199.109,11,170,10,2,1:20.982,1:19.710,1:21.554
179,26,7,5,14.0,13,11.0,11,11,0.0,59,,,21.0,9.0,01:33.4,198.224,11,181,14,13,1:20.584,1:20.531,
180,26,10,7,12.0,12,12.0,12,12,0.0,59,,,19.0,15.0,01:34.6,195.619,11,180,12,12,1:20.893,1:20.274,
181,26,13,6,2.0,9,13.0,13,13,0.0,58,,,19.0,8.0,01:33.3,198.458,12,177,2,9,1:20.676,1:20.086,1:23.305
182,26,9,2,4.0,10,,R,14,0.0,39,,,22.0,12.0,01:33.5,197.859,20,178,4,10,1:20.444,1:19.788,
183,26,18,11,16.0,17,,R,15,0.0,38,,,21.0,10.0,01:33.4,198.205,20,185,16,17,1:21.631,,
184,26,12,4,6.0,7,,R,16,0.0,35,,,21.0,7.0,01:33.2,198.573,20,175,6,7,1:20.818,1:20.115,1:22.491
185,26,21,10,21.0,19,,R,17,0.0,16,,,21.0,17.0,01:34.9,194.96,20,188,21,20,1:21.885,,
186,26,16,10,20.0,18,,R,18,0.0,10,,,5.0,18.0,01:38.2,188.545,20,187,20,19,1:21.786,,
187,26,20,5,15.0,8,,R,19,0.0,0,,,,,,,4,176,15,8,1:20.318,1:20.109,1:23.251
188,26,14,9,9.0,11,,R,20,0.0,0,,,,,,,4,179,9,11,1:21.224,1:20.174,
189,27,1,1,22.0,1,1.0,1,1,10.0,67,31:20.9,5480874.0,17.0,2.0,01:16.0,216.552,1,189,22,1,1:15.218,1:14.603,1:15.666
190,27,12,4,6.0,17,2.0,2,2,8.0,67,5.586,5486460.0,66.0,9.0,01:16.9,214.099,1,205,6,17,1:16.189,,
191,27,13,6,2.0,2,3.0,3,3,6.0,67,9.339,5490213.0,19.0,5.0,01:16.5,215.241,1,190,2,2,1:14.921,1:14.747,1:15.859
192,27,2,2,3.0,12,4.0,4,4,5.0,67,9.825,5490699.0,52.0,1.0,01:16.0,216.7,1,200,3,12,1:15.596,1:15.581,
