resultId,raceId,driverId,constructorId,number_x,grid,position_x,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3
957,62,2,2,16.0,10,,R,17,0.0,0,,,,,,,3,950,16,10,1:11.891,1:11.718,1:15.280
958,62,31,1,4.0,11,,R,18,0.0,0,,,,,,,3,951,4,11,1:12.477,1:12.150,
959,62,17,3,9.0,12,,R,19,0.0,0,,,,,,,3,952,9,12,1:12.935,1:12.292,
960,62,26,5,21.0,13,,R,20,0.0,0,,,,,,,3,953,21,13,1:13.167,1:12.792,
961,62,32,9,15.0,16,,R,21,0.0,0,,,,,,,3,956,15,16,1:12.773,1:12.925,
962,62,36,8,23.0,19,,R,22,0.0,0,,,,,,,3,962,23,22,1:16.036,,
963,63,30,6,5.0,1,1.0,1,1,10.0,70,32:07.8,5527803.0,46.0,1.0,01:17.1,205.931,1,963,5,1,1:15.865,1:15.111,1:15.493
964,63,4,4,1.0,3,2.0,2,2,8.0,70,10.1,5537903.0,23.0,5.0,01:17.8,204.186,1,965,1,3,1:16.328,1:15.706,1:15.785
965,63,13,6,6.0,2,3.0,3,3,6.0,70,22.5,5550303.0,18.0,2.0,01:17.1,205.851,1,964,6,2,1:16.277,1:15.679,1:15.510
966,63,23,7,7.0,5,4.0,4,4,5.0,70,27.2,5555003.0,19.0,6.0,01:17.8,204.084,1,967,7,5,1:15.949,1:15.625,1:16.091
967,63,8,1,3.0,6,5.0,5,5,4.0,70,33,5560803.0,30.0,4.0,01:17.7,204.325,1,968,3,6,1:16.154,1:15.742,1:16.281
968,63,21,4,2.0,7,6.0,6,6,3.0,70,45.2,5573003.0,20.0,9.0,01:18.1,203.435,1,969,2,7,1:16.825,1:15.901,1:16.345
969,63,37,1,4.0,8,7.0,7,7,2.0,70,49.4,5577203.0,34.0,3.0,01:17.6,204.568,1,970,4,8,1:16.679,1:15.902,1:16.632
970,63,2,2,16.0,11,8.0,8,8,1.0,69,,,48.0,14.0,01:18.8,201.494,11,974,16,12,1:16.686,1:16.294,
971,63,14,9,14.0,9,9.0,9,9,0.0,69,,,56.0,17.0,01:19.0,201.063,11,972,14,10,1:16.350,1:15.974,1:18.663
972,63,26,5,21.0,14,10.0,10,10,0.0,69,,,66.0,12.0,01:18.7,201.84,11,977,21,15,1:17.117,1:17.063,
973,63,35,2,17.0,16,11.0,11,11,0.0,69,,,56.0,7.0,01:17.9,203.83,11,980,17,18,1:17.304,,
974,63,32,9,15.0,12,12.0,12,12,0.0,69,,,56.0,16.0,01:19.0,201.089,11,975,15,13,1:16.921,1:16.433,
975,63,24,5,20.0,22,13.0,13,13,0.0,69,,,54.0,10.0,01:18.2,202.957,11,979,20,17,1:17.164,,
976,63,3,3,10.0,18,14.0,14,14,0.0,68,,,62.0,13.0,01:18.8,201.527,12,971,10,9,1:16.534,1:15.926,1:18.272
977,63,27,13,19.0,15,15.0,15,15,0.0,68,,,67.0,18.0,01:19.4,200.105,12,978,19,16,1:16.962,1:17.105,
978,63,36,8,23.0,20,16.0,16,16,0.0,67,,,53.0,20.0,01:20.1,198.215,13,983,23,21,1:18.637,,
979,63,18,11,12.0,17,,R,17,0.0,61,,,47.0,11.0,01:18.5,202.262,39,981,12,19,1:17.495,,
980,63,17,3,9.0,10,,R,18,0.0,55,,,34.0,15.0,01:18.9,201.366,46,973,9,11,1:16.531,1:16.129,
981,63,15,7,8.0,4,,R,19,0.0,39,,,16.0,8.0,01:18.0,203.49,23,966,8,4,1:15.550,1:15.776,1:16.036
982,63,22,11,11.0,13,,R,20,0.0,28,,,16.0,19.0,01:20.1,198.262,5,976,11,14,1:17.022,1:17.027,
983,63,33,13,18.0,19,,R,21,0.0,11,,,8.0,21.0,01:21.7,194.452,26,982,18,20,1:17.589,,
984,63,11,8,22.0,21,,R,22,0.0,0,,,,,,,7,984,22,22,1:18.845,,
985,64,30,6,5.0,2,1.0,1,1,10.0,67,27:51.7,5271693.0,17.0,1.0,01:16.4,215.65,1,986,5,2,1:14.904,1:13.778,1:14.205
986,64,13,6,6.0,3,2.0,2,2,8.0,67,0.7,5272393.0,18.0,2.0,01:16.4,215.551,1,987,6,3,1:14.412,1:14.094,1:14.569
987,64,8,1,3.0,1,3.0,3,3,6.0,67,13.2,5284893.0,4.0,3.0,01:16.5,215.317,1,985,3,1,1:15.214,1:14.410,1:14.070
988,64,18,11,12.0,4,4.0,4,4,5.0,67,18.8,5290493.0,14.0,7.0,01:16.8,214.356,1,988,12,4,1:15.869,1:14.378,1:14.862
989,64,4,4,1.0,7,5.0,5,5,4.0,67,23.7,5295393.0,66.0,9.0,01:17.3,213.14,1,991,1,7,1:15.518,1:14.746,1:15.282
